turn,omega_w1_response,omega_w1_prompt
2,-1.8105446320603074,0.9999999999999991
3,1.4575975593488586,
4,-0.09430446847083207,2.3168951975219505
5,-0.06419684202884923,-0.4364384942536246
6,-0.12579138348633023,-1.4304488302123373
7,0.05133717305641383,0.6518899325844361
8,-0.18013745352503463,-0.9609913699353623
9,0.3307539656386176,0.051597917988786435
10,-1.2362852485502822,0.04991755989740554
11,0.38877767684104114,0.33209988728308026
12,0.2699537890405317,0.24615755449022014
13,0.19112960176401916,-0.5287060723921959
14,-0.17071014003618146,0.5284247256984598
15,0.22033239029626372,1.6885671920276808
16,0.6920493460443069,-0.7207494963177457
17,-1.4065698731653953,-1.7098092686756914
18,0.7123237504324234,0.7949769929473431
19,0.0441175106664673,-0.567540730949732
20,0.37050484297649344,-0.22743626199761113
21,-0.5026666589004263,-0.6273297235123869
22,0.4588600433063581,1.4782762846346924
23,-0.5599294797089307,0.24924120866867927
24,-0.04299860555260704,0.14973389041947094
25,-0.4158561136608441,-1.342256380269209
26,0.4474259644288576,1.0866023929333828
27,-0.7480445508918914,-0.05216813668130449
28,1.1878379636731706,-0.5737080063232183
29,-0.05907887500267606,0.7249413381373824
30,-0.05699175911770027,-1.0592721503947615
31,-0.012332904939623468,0.7108436105460729
32,0.3983963899853702,-0.07243240835150111
33,-0.4043959116313989,-1.1548075642584514
34,-0.3373027191012934,0.0
35,0.0483009077054275,
36,-0.20228109571028696,0.1865755762687309
37,0.19887150161999934,-0.07937216956128879
38,-0.6031358002571654,-0.927939667368928
39,0.28255158437771044,-0.20000000000000018
40,0.22095634307312562,2.2164149966972
41,-0.009979015362644894,-0.9817847561678885
42,0.602560336795289,2.8181810009119035
43,-0.7839544916755168,-2.1628971481975645
44,-1.8664707212764107,-0.6382910390344598
45,1.3071753050109676,-0.6984349824001046
46,-1.1550353472234516,
47,1.965887535977215,
48,0.11490432056352518,
49,0.1420192449734623,
50,0.6342396121665539,-0.12852260240150937
51,-0.08997341118885416,2.166318246785924
52,-0.21226271206425285,-1.7652090318607732
53,-0.8555291103480904,1.554654408156284
54,1.0108407542385942,
55,-0.8406652702082393,-0.6712822001257992
56,-0.013645128125113537,-0.7468912674713852
57,0.1528273471090147,-0.17729312417067167
58,0.10393385169135172,-0.3852499592651988
59,-0.13498342542782993,-0.18696149529172423
60,-0.2265656620343357,1.0002833596695604
61,0.43736101353651513,1.0093919786370602
62,-1.4609255386900344,-0.47962780297692564
63,1.4373054579716253,
64,-0.44552885727601765,-1.5427985814939276
65,0.6363115561992077,
66,-0.356123522950222,
67,0.34992642284353437,
68,-0.9817131342317404,0.9556853419317535
69,0.6814019416019956,0.2861967669169214
70,0.2012742174084048,
71,-0.12748747801250104,0.7508988085583104
72,-0.08449660298026096,-1.3448932298675378
73,0.16871882349269374,-0.46981578242680966
74,-0.5327183524928722,1.2790944980807737
75,0.6220128118529864,0.8651864472199238
76,-1.30271555844842,-0.7600972255215082
77,0.45340136951878574,-0.7512396747982306
78,0.7049423453128547,-0.07146185826018314
79,-0.45210981292752095,-0.25412726466317004
80,-0.00750539009698592,0.8045944120228379
81,0.7995615875887578,1.282946121724554
82,-0.1697923935648058,-2.6864198221815188
83,-0.07659502202601409,0.4515222300100712
84,-0.0349702229384814,1.1797026950532845
85,-0.3720797480904885,0.3590015151730128
86,-0.0857618185433564,-0.6348458840851219
87,0.6022926138303655,
88,-0.5715066301958798,-0.1850726962885494
89,0.7571861754442439,0.4083604672119643
90,-0.31227239987681,0.2847841341892243
91,-0.05332230225409251,2.2309547978348148
92,0.03811199276395172,-1.6392366576600148
93,-0.6080541937304211,-0.9408904636054718
94,-1.044521638594336,0.07482323193293539
95,1.093060149798685,-1.608857127848761
96,-0.16299746314628205,1.8288138615299965
97,-0.41554215119082816,-0.6683439661558248
98,-0.42147563680210975,-0.5418368488574332
99,1.3276267067573615,1.1607400687794511
100,-0.5230356701900032,-0.21809499083705663
101,0.7103126237929693,0.44043851133649703
102,-0.3677360714975766,-0.33986881482424813
103,-0.19033287696604262,-0.28446075667476745
104,0.05503296867203744,0.7351136928192483
105,-0.8081627969077783,-0.41953554963028683
106,0.550701720044219,-0.30925583170432436
107,0.6414025582541152,0.7093715887714653
108,-0.020952637220980286,-1.0415452576268445
109,-0.03831543917515834,-0.5757598032662772
110,0.4633104071119192,1.336406081094105
111,-1.3937166788504687,-0.7990626279919972
112,1.449356318624167,1.1139817609270857
113,-0.3071465015157866,0.9244088645557591
114,-0.2731914022653221,-0.452915490216796
115,0.3535717434521377,-1.1823097040099455
116,-0.05834486914766934,0.06501093991895956
117,-1.303170541057601,0.6022750172098457
118,0.07507172716234134,-0.697593885513629
119,1.4080323557617822,1.5381000280373742
120,0.2594976819602435,-0.09291697964386003
121,-0.1750118179241742,-0.9820997517314236
122,-0.9361385908534618,-0.3208105132619483
123,0.1686244449097316,-0.08196452055877845
124,-0.4548833286492542,-0.2664844702870077
125,-0.29580441721883055,0.6347358070474387
126,0.7163116318242402,0.027579773449846634
127,-1.2012583473962195,-0.8881737526766429
128,0.9963860444185997,0.9799036014590659
129,1.290075355320484,0.1857966913281741
130,-0.4760483266824478,0.18497058271005784
131,-0.04637649597565918,-0.4324173071111659
132,0.36357060421671417,-1.18591792393498
133,-0.9858544474083235,
134,-0.3213402611009908,
135,0.6400901113272699,
136,-0.02421656245364545,
137,0.37166299460079966,1.2776820833502391
138,-0.07118665660110324,-0.47544987153921614
139,-0.25356765719458974,-0.16407880289034793
140,-0.8456238898893886,-0.34725920053065096
141,0.21070567856421718,2.0879295178519373
142,0.7275427789981856,-2.5533840081008687
143,-0.18349213566142097,-0.11547721741993655
144,-0.08256058290862622,1.189280802196115
145,0.5244397081458532,0.02828645988676204
146,-0.3753535369858012,-0.5223049382211791
